"filename", "language", "XML", "JSON", "C#", "Razor", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\MauiReEncryptJob.cs", "C#", 0, 0, 142, 0, 0, 0, 29, 18, 189
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\MauiSecureStorageKeyProvider.cs", "C#", 0, 0, 52, 0, 0, 0, 23, 13, 88
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\PasswordHashingService.cs", "C#", 0, 0, 87, 0, 0, 0, 67, 20, 174
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\SecureStorageService.cs", "C#", 0, 0, 188, 0, 0, 0, 48, 18, 254
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AIRecommendationService.cs", "C#", 0, 0, 276, 0, 0, 0, 47, 36, 359
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AccessManagementPageFactory.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AddSnackDialogFactory.cs", "C#", 0, 0, 19, 0, 0, 0, 4, 5, 28
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AuthenticationService.cs", "C#", 0, 0, 387, 0, 0, 0, 78, 77, 542
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\BackpackService.cs", "C#", 0, 0, 272, 0, 0, 0, 24, 38, 334
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\ConnectionCodeService.cs", "C#", 0, 0, 86, 0, 0, 0, 23, 14, 123
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\CurrentUserService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\DiabetesSettingsPageFactory.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\EditProfilePageFactory.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\EncryptionService.cs", "C#", 0, 0, 171, 0, 0, 0, 33, 25, 229
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\FallbackRecommendationService.cs", "C#", 0, 0, 96, 0, 0, 0, 29, 18, 143
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\GigaChatService.cs", "C#", 0, 0, 239, 0, 0, 0, 39, 47, 325
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\LinkService.cs", "C#", 0, 0, 316, 0, 0, 0, 4, 45, 365
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\LocationService.cs", "C#", 0, 0, 157, 0, 0, 0, 23, 25, 205
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\MeasurementService.cs", "C#", 0, 0, 504, 0, 0, 0, 98, 69, 671
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\MockApiClient.cs", "C#", 0, 0, 471, 0, 0, 0, 111, 92, 674
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\NotificationService.cs", "C#", 0, 0, 372, 0, 0, 0, 66, 61, 499
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RealApiClient.cs", "C#", 0, 0, 568, 0, 0, 0, 55, 104, 727
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationCacheAdapter.cs", "C#", 0, 0, 30, 0, 0, 0, 11, 7, 48
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationCacheService.cs", "C#", 0, 0, 181, 0, 0, 0, 49, 42, 272
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationModalFactory.cs", "C#", 0, 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationModalViewModelFactory.cs", "C#", 0, 0, 16, 0, 0, 0, 4, 5, 25
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationOrchestrator.cs", "C#", 0, 0, 128, 0, 0, 0, 7, 19, 154
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\ScheduleService.cs", "C#", 0, 0, 206, 0, 0, 0, 34, 40, 280
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\StatisticsService.cs", "C#", 0, 0, 145, 0, 0, 0, 37, 30, 212
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\StorageService.cs", "C#", 0, 0, 86, 0, 0, 0, 28, 9, 123
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\SyncConflictResolver.cs", "C#", 0, 0, 112, 0, 0, 0, 22, 19, 153
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\SyncService.cs", "C#", 0, 0, 592, 0, 0, 0, 90, 96, 778
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\ThemeService.cs", "C#", 0, 0, 100, 0, 0, 0, 28, 21, 149
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAIRecommendationService.cs", "C#", 0, 0, 40, 0, 0, 0, 65, 20, 125
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAccessManagementPageFactory.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 3, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAddSnackDialogFactory.cs", "C#", 0, 0, 7, 0, 0, 0, 6, 3, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IApiClient.cs", "C#", 0, 0, 40, 0, 0, 0, 114, 31, 185
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAuthenticationService.cs", "C#", 0, 0, 15, 0, 0, 0, 28, 11, 54
