"filename", "language", "C#", "Razor", "CSS", "XML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\InviteCodeModal.razor", "Razor", 0, 281, 0, 0, 0, 0, 0, 36, 317
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\LoadingSkeleton.razor", "Razor", 0, 142, 0, 0, 0, 0, 0, 11, 153
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\LoadingSkeleton.razor.css", "CSS", 0, 0, 111, 0, 0, 0, 10, 20, 141
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\LoadingSpinner.razor", "Razor", 0, 174, 0, 0, 0, 0, 0, 32, 206
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\MeasurementTable.razor", "Razor", 0, 611, 0, 0, 0, 0, 0, 100, 711
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\ModalVariant.cs", "C#", 7, 0, 0, 0, 0, 0, 3, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\NavItem.razor", "Razor", 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\NavItem.razor.css", "CSS", 0, 0, 54, 0, 0, 0, 11, 10, 75
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\PageHeader.razor", "Razor", 0, 144, 0, 0, 0, 0, 0, 36, 180
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\PageHeader.razor.css", "CSS", 0, 0, 185, 0, 0, 0, 15, 29, 229
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\PatientCard.razor", "Razor", 0, 470, 0, 0, 0, 0, 0, 78, 548
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\PatientRow.razor", "Razor", 0, 237, 0, 0, 0, 0, 0, 24, 261
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\RoleBadge.razor", "Razor", 0, 122, 0, 0, 0, 0, 0, 24, 146
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\RoleBadge.razor.css", "CSS", 0, 0, 94, 0, 0, 0, 13, 16, 123
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\SessionExpiredDialog.razor", "Razor", 0, 385, 0, 0, 0, 0, 0, 73, 458
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\SkeletonVariant.cs", "C#", 12, 0, 0, 0, 0, 0, 3, 9, 24
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\StatCard.razor", "Razor", 0, 414, 0, 0, 0, 0, 0, 55, 469
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\StatusChip.razor", "Razor", 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\SyncBanner.razor", "Razor", 0, 248, 0, 0, 0, 0, 0, 38, 286
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\SyncBanner.razor.css", "CSS", 0, 0, 193, 0, 0, 0, 18, 34, 245
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\ThemeToggle.razor", "Razor", 0, 262, 0, 0, 0, 0, 0, 44, 306
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\TimelineItem.razor", "Razor", 0, 153, 0, 0, 0, 0, 0, 16, 169
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\TirProgressBar.razor", "Razor", 0, 298, 0, 0, 0, 0, 0, 49, 347
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\_Imports.razor", "Razor", 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Models\Analytics\AnalyticsModels.cs", "C#", 51, 0, 0, 0, 0, 0, 15, 27, 93
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Models\Auth\AuthModels.cs", "C#", 41, 0, 0, 0, 0, 0, 19, 19, 79
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Models\Charts\GlucoseChartPayload.cs", "C#", 13, 0, 0, 0, 0, 0, 3, 10, 26
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Models\Charts\GlucoseChartPoint.cs", "C#", 6, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Models\Charts\GlucoseChartViewModel.cs", "C#", 14, 0, 0, 0, 0, 0, 3, 11, 28
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Admin\AuditLog.razor", "Razor", 0, 1096, 0, 0, 0, 0, 0, 191, 1287
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Admin\Dashboard.razor", "Razor", 0, 832, 0, 0, 0, 0, 0, 128, 960
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Admin\DoctorRequests.razor", "Razor", 0, 925, 0, 0, 0, 0, 0, 165, 1090
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Admin\Users.razor", "Razor", 0, 1075, 0, 0, 0, 0, 0, 185, 1260
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Auth\ForgotPassword.razor", "Razor", 0, 1017, 0, 0, 0, 0, 0, 144, 1161
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Auth\Login.razor", "Razor", 0, 448, 0, 0, 0, 0, 0, 54, 502
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Auth\Onboarding.razor", "Razor", 0, 1224, 0, 0, 0, 0, 5, 158, 1387
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Auth\Register.razor", "Razor", 0, 814, 0, 0, 0, 0, 0, 116, 930
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Auth\ResetPassword.razor", "Razor", 0, 690, 0, 0, 0, 0, 8, 93, 791
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Auth\Verify.razor", "Razor", 0, 774, 0, 0, 0, 0, 0, 113, 887
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\Alerts.razor", "Razor", 0, 295, 0, 0, 0, 0, 0, 50, 345
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\Notes.razor", "Razor", 0, 322, 0, 0, 0, 0, 0, 51, 373
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\NotesIndex.razor", "Razor", 0, 195, 0, 0, 0, 0, 0, 29, 224
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\NotesIndex.razor.css", "CSS", 0, 0, 176, 0, 0, 0, 0, 29, 205
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\PatientDetail.razor", "Razor", 0, 533, 0, 0, 0, 0, 0, 79, 612
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\PatientDetail.razor.css", "CSS", 0, 0, 469, 0, 0, 0, 0, 81, 550
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\Patients.razor", "Razor", 0, 672, 0, 0, 0, 0, 0, 87, 759
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\Patients.razor.css", "CSS", 0, 0, 704, 0, 0, 0, 0, 116, 820
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\Profile.razor", "Razor", 0, 211, 0, 0, 0, 0, 0, 30, 241
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Doctor\Reports.razor", "Razor", 0, 363, 0, 0, 0, 0, 0, 56, 419
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\Analytics.razor", "Razor", 0, 580, 0, 0, 0, 0, 0, 69, 649
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\Dashboard.razor", "Razor", 0, 1940, 0, 0, 0, 0, 0, 189, 2129
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\Dashboard.razor.css", "CSS", 0, 0, 1108, 0, 0, 0, 32, 200, 1340
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\LinkChild.razor", "Razor", 0, 237, 0, 0, 0, 0, 0, 36, 273
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\Links.razor", "Razor", 0, 1155, 0, 0, 0, 0, 0, 153, 1308
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\SyncConflicts.razor", "Razor", 0, 529, 0, 0, 0, 0, 6, 46, 581
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\SyncConflicts.razor.css", "CSS", 0, 0, 410, 0, 0, 0, 0, 73, 483
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\Timeline.razor", "Razor", 0, 957, 0, 0, 0, 0, 11, 120, 1088
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Pages\Parent\Timeline.razor.css", "CSS", 0, 0, 773, 0, 0, 0, 20, 156, 949
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Program.cs", "C#", 118, 0, 0, 0, 0, 0, 60, 42, 220
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 1, 24
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Resources\Strings.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Security\PassThroughAuthenticationHandler.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\AdminLinkDtos.cs", "C#", 13, 0, 0, 0, 0, 0, 6, 7, 26
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\ApiErrorResponse.cs", "C#", 7, 0, 0, 0, 0, 0, 3, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\AuthApiClient.cs", "C#", 470, 0, 0, 0, 0, 0, 43, 70, 583
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\CurrentUserService.cs", "C#", 144, 0, 0, 0, 0, 0, 24, 38, 206
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\IAuthApiClient.cs", "C#", 38, 0, 0, 0, 0, 0, 51, 18, 107
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\ICurrentUserService.cs", "C#", 22, 0, 0, 0, 0, 0, 6, 14, 42
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\ITokenStore.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\JwtAuthStateProvider.cs", "C#", 274, 0, 0, 0, 0, 0, 48, 44, 366
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\JwtAuthorizationHandler.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\LocalStorageTokenStore.cs", "C#", 78, 0, 0, 0, 0, 0, 9, 10, 97
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\ResetPasswordResult.cs", "C#", 10, 0, 0, 0, 0, 0, 3, 5, 18
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\SugarGuardApiService.Compat.cs", "C#", 42, 0, 0, 0, 0, 0, 6, 6, 54
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\SugarGuardApiService.Models.cs", "C#", 274, 0, 0, 0, 0, 0, 57, 32, 363
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Services\SugarGuardApiService.cs", "C#", 1693, 0, 0, 0, 0, 0, 272, 190, 2155
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Shared\BackpackItemCard.razor", "Razor", 0, 678, 0, 0, 0, 0, 0, 106, 784
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Shared\BannerKind.cs", "C#", 11, 0, 0, 0, 0, 0, 3, 8, 22
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Shared\EmptyStateSize.cs", "C#", 7, 0, 0, 0, 0, 0, 3, 2, 12
